,Index,Article Type,Title,Authors,Publication Source,Publication Year,Citations,Importance Rate,Impact Factor,Article Link,BibTex,Synopsis,Cluster
78,79,1,Learning social representations with deep autoencoder for recommender system,"Fazhi He, Haiping Yu, Yiteng Pan",World wide web (Bussum),2020,94,2.498517053880376, ,https://www.semanticscholar.org/paper/1d631cf9f5cf42e99b9b56e07ae47e17b9c1f713,"@['JournalArticle']{Pan2020LearningSR,
 author = {Yiteng Pan and Fazhi He and Haiping Yu},
 booktitle = {World wide web (Bussum)},
 journal = {World Wide Web},
 pages = {2259-2279},
 title = {Learning social representations with deep autoencoder for recommender system},
 volume = {23},
 year = {2020}
}
",No synopsis,32
79,80,1,Towards a Knowledge-aware Food Recommender System Exploiting Holistic User Models,"A. Starke, C. Musto, C. Trattner, G. Semeraro","User Modeling, Adaptation, and Personalization",2020,23,2.498517053880376, ,https://www.semanticscholar.org/paper/9ca0ea45ada4d5228603151390e6b21de24286fc,"@['JournalArticle', 'Book']{Musto2020TowardsAK,
 author = {C. Musto and C. Trattner and A. Starke and G. Semeraro},
 booktitle = {User Modeling, Adaptation, and Personalization},
 journal = {Proceedings of the 28th ACM Conference on User Modeling, Adaptation and Personalization},
 title = {Towards a Knowledge-aware Food Recommender System Exploiting Holistic User Models},
 year = {2020}
}
","Food recommender systems typically rely on popularity, as well as similarity between recipes to generate personalized suggestions. However, this leaves little room for users to explore new preferences, such as to adopt healthier eating habits. In this short paper, we present a recommendation strategy based on knowledge about food and users' health-related characteristics to generate personalized recipes suggestions. By focusing on personal factors as a user's BMI and dietary constraints, we exploited a holistic user model to re-rank a basic recommendation list of 4,671 recipes, and investigated in a web-based experiment (N=200) to what extent it generated satisfactory food recommendations. We found that some of the information encoded in a users' holistic user profiles affected their preferences, thus providing us with interesting findings to continue this line of research.",28
80,81,1,A framework for e-healthcare management service using recommender system,"P. Deepalakshmi, P. Nagaraj",Electron. Gov. an Int. J.,2020,25,2.498517053880376, ,https://www.semanticscholar.org/paper/fe888ed6175b162db184de6dad33f38d3845438d,"@['JournalArticle']{Nagaraj2020AFF,
 author = {P. Nagaraj and P. Deepalakshmi},
 booktitle = {Electron. Gov. an Int. J.},
 journal = {Electron. Gov. an Int. J.},
 pages = {84-100},
 title = {A framework for e-healthcare management service using recommender system},
 volume = {16},
 year = {2020}
}
","Recommender systems are emerging up very popular as they are able to predict the preferences of a user. This makes the proposal dependent on the user profile, past evaluations or/and extra learning, for example, user logical information and instructions. It can also be applied to healthcare area by taking advantage of environment information to sustain health improvement and disease prohibition. The utilisation of recommender framework has been efficient in both industry and the intellectual world. Recommender framework has additionally discovered its way into the healthcare discipline interval with shifted applications. The motivation behind this investigation is to comprehend the pattern of recommender framework applications in healthcare services by analysing and to give specialists and research knowledge and future supervision. The proposed work centres on giving a complete outline of the recommender frameworks in e-health service information to patients whenever, wherever and whatever. Health information systems are turning into an essential stage for healthcare services. In this specific circumstance, health recommender system is exhibited as correlative toll in decision-making process in healthcare services and administrations. This paper exhibits current improvements in the market, challenges and opportunities in e-health concerning health recommender system and developing methodologies.",7
81,82,1,Gemini: A Grammar and Recommender System for Animated Transitions in Statistical Graphics,"Jeffrey Heer, Younghoon Kim",IEEE Transactions on Visualization and Computer Graphics,2020,28,2.498517053880376, ,https://www.semanticscholar.org/paper/dfaf5d156422b5e97b1cc476272cf3e0e39347d9,"@['JournalArticle']{Kim2020Gemini:AG,
 author = {Younghoon Kim and Jeffrey Heer},
 booktitle = {IEEE Transactions on Visualization and Computer Graphics},
 journal = {IEEE Transactions on Visualization and Computer Graphics},
 pages = {485-494},
 title = {Gemini: A Grammar and Recommender System for Animated Transitions in Statistical Graphics},
 volume = {27},
 year = {2020}
}
","Animated transitions help viewers follow changes between related visualizations. Specifying effective animations demands significant effort: authors must select the elements and properties to animate, provide transition parameters, and coordinate the timing of stages. To facilitate this process, we present Gemini, a declarative grammar and recommendation system for animated transitions between single-view statistical graphics. Gemini specifications define transition “steps” in terms of high-level visual components (marks, axes, legends) and composition rules to synchronize and concatenate steps. With this grammar, Gemini can recommend animation designs to augment and accelerate designers' work. Gemini enumerates staged animation designs for given start and end states, and ranks those designs using a cost function informed by prior perceptual studies. To evaluate Gemini, we conduct both a formative study on Mechanical Turk to assess and tune our ranking function, and a summative study in which 8 experienced visualization developers implement animations in D3 that we then compare to Gemini's suggestions. We find that most designs (9/11) are exactly replicable in Gemini, with many (8/11) achievable via edits to suggestions, and that Gemini suggestions avoid multiple participant errors.",7
82,83,1,Presentation of a recommender system with ensemble learning and graph embedding: a case on MovieLens,"K. Berahmand, M. Rostami, Saman Forouzandeh",Multim. Tools Appl.,2020,44,2.498517053880376, ,https://www.semanticscholar.org/paper/b93f7200ca14284b9f3e760464a0ad7330db046f,"@['JournalArticle']{Forouzandeh2020PresentationOA,
 author = {Saman Forouzandeh and M. Rostami and K. Berahmand},
 booktitle = {Multim. Tools Appl.},
 journal = {Multimedia Tools and Applications},
 pages = {7805-7832},
 title = {Presentation of a recommender system with ensemble learning and graph embedding: a case on MovieLens},
 volume = {80},
 year = {2020}
}
",No synopsis,32
83,84,1,The need for a system view to regulate artificial intelligence/machine learning-based software as medical device.,"Boris Babic, I. Cohen, S. Gerke, T. Evgeniou",npj Digital Medicine,2020,26,2.498517053880376, ,https://www.semanticscholar.org/paper/f5a2dffc419b194a8781477481aa5967654fe641,"@['Review', 'JournalArticle']{Gerke2020TheNF,
 author = {S. Gerke and Boris Babic and T. Evgeniou and I. Cohen},
 booktitle = {npj Digital Medicine},
 journal = {NPJ digital medicine},
 pages = {
          53
        },
 title = {The need for a system view to regulate artificial intelligence/machine learning-based software as medical device.},
 volume = {3 1},
 year = {2020}
}
",No synopsis,48
84,85,1,A novel tourism recommender system in the context of social commerce,"Leila Esmaeili, S. Golpayegani, Shahla Mardani, Zeinab Zanganeh Madar",Expert systems with applications,2020,49,2.498517053880376, ,https://www.semanticscholar.org/paper/088b73475a43a1bf535ba343f8e74329cbf03090,"@['JournalArticle']{Esmaeili2020ANT,
 author = {Leila Esmaeili and Shahla Mardani and S. Golpayegani and Zeinab Zanganeh Madar},
 booktitle = {Expert systems with applications},
 journal = {Expert Syst. Appl.},
 pages = {113301},
 title = {A novel tourism recommender system in the context of social commerce},
 volume = {149},
 year = {2020}
}
",No synopsis,8
85,86,1,A Survey of Similarity Measures for Collaborative Filtering-Based Recommender System,"Gourav Jain, K. Tripathi, T. Mahara",-,2020,25,2.498517053880376, ,https://www.semanticscholar.org/paper/a27db431d4a8c7a38818edbdaae44106e85e937b,"@['Review']{Jain2020ASO,
 author = {Gourav Jain and T. Mahara and K. Tripathi},
 pages = {343-352},
 title = {A Survey of Similarity Measures for Collaborative Filtering-Based Recommender System},
 year = {2020}
}
",No synopsis,13
86,87,1,Reflections on treatment of COVID-19 with traditional Chinese medicine,"Dechao Tan, Hanbin Chen, Hua Luo, Jian Zou, Qiao Liu, Shengpeng Wang, Siyuan Zhang, Yan Gao, Yan Han, Yonghua Zhao",Chinese Medicine,2020,48,2.498517053880376, ,https://www.semanticscholar.org/paper/fe41be98fb8139ef5c4f3886f1ad6285497f0602,"@['Review', 'JournalArticle']{Luo2020ReflectionsOT,
 author = {Hua Luo and Yan Gao and Jian Zou and Siyuan Zhang and Hanbin Chen and Qiao Liu and Dechao Tan and Yan Han and Yonghua Zhao and Shengpeng Wang},
 booktitle = {Chinese Medicine},
 journal = {Chinese Medicine},
 title = {Reflections on treatment of COVID-19 with traditional Chinese medicine},
 volume = {15},
 year = {2020}
}
",No synopsis,14
87,88,1,A social-semantic recommender system for advertisements,"F. García-Sánchez, R. Valencia-García, Ricardo Colomo Palacios",Information Processing & Management,2020,53,2.498517053880376, ,https://www.semanticscholar.org/paper/9fdb2aeb4730141d72ada1625d6846bce81fe1b2,"@['JournalArticle']{García-Sánchez2020ASR,
 author = {F. García-Sánchez and Ricardo Colomo Palacios and R. Valencia-García},
 booktitle = {Information Processing & Management},
 journal = {Inf. Process. Manag.},
 pages = {102153},
 title = {A social-semantic recommender system for advertisements},
 volume = {57},
 year = {2020}
}
",No synopsis,31
88,89,1,Design of an Unsupervised Machine Learning-Based Movie Recommender System,"Debby Cintia Ganesha Putri, Jenq-Shiou Leu, Pavel Seda",Symmetry,2020,22,2.498517053880376, ,https://www.semanticscholar.org/paper/dcc98e17aebb605194959424be1c35ed10d4a174,"@['JournalArticle']{Putri2020DesignOA,
 author = {Debby Cintia Ganesha Putri and Jenq-Shiou Leu and Pavel Seda},
 booktitle = {Symmetry},
 journal = {Symmetry},
 pages = {185},
 title = {Design of an Unsupervised Machine Learning-Based Movie Recommender System},
 volume = {12},
 year = {2020}
}
","This research aims to determine the similarities in groups of people to build a film recommender system for users. Users often have difficulty in finding suitable movies due to the increasing amount of movie information. The recommender system is very useful for helping customers choose a preferred movie with the existing features. In this study, the recommender system development is established by using several algorithms to obtain groupings, such as the K-Means algorithm, birch algorithm, mini-batch K-Means algorithm, mean-shift algorithm, affinity propagation algorithm, agglomerative clustering algorithm, and spectral clustering algorithm. We propose methods optimizing K so that each cluster may not significantly increase variance. We are limited to using groupings based on Genre and Tags for movies. This research can discover better methods for evaluating clustering algorithms. To verify the quality of the recommender system, we adopted the mean square error (MSE), such as the Dunn Matrix and Cluster Validity Indices, and social network analysis (SNA), such as Degree Centrality, Closeness Centrality, and Betweenness Centrality. We also used average similarity, computational time, association rule with Apriori algorithm, and clustering performance evaluation as evaluation measures to compare method performance of recommender systems using Silhouette Coefficient, Calinski-Harabaz Index, and Davies–Bouldin Index.",25
89,90,1,The need for a system view to regulate artificial intelligence/machine learning-based software as medical device,"Boris Babic, I. Cohen, S. Gerke, T. Evgeniou",npj Digital Medicine,2020,45,2.498517053880376, ,https://www.semanticscholar.org/paper/68874fb2f468d1653b794910e8790532dcbfdcfb,"@['Review', 'JournalArticle']{Gerke2020TheNF,
 author = {S. Gerke and Boris Babic and T. Evgeniou and I. Cohen},
 booktitle = {npj Digital Medicine},
 journal = {NPJ Digital Medicine},
 title = {The need for a system view to regulate artificial intelligence/machine learning-based software as medical device},
 volume = {3},
 year = {2020}
}
",No synopsis,48
90,91,1,A Federated Recommender System for Online Services,"Ben Tan, Bo Liu, Qiang Yang, V. Zheng",ACM Conference on Recommender Systems,2020,22,2.498517053880376, ,https://www.semanticscholar.org/paper/29370a6d990ae1782974593b61804a32f13b440c,"@['Book', 'JournalArticle']{Tan2020AFR,
 author = {Ben Tan and Bo Liu and V. Zheng and Qiang Yang},
 booktitle = {ACM Conference on Recommender Systems},
 journal = {Proceedings of the 14th ACM Conference on Recommender Systems},
 title = {A Federated Recommender System for Online Services},
 year = {2020}
}
","Due to privacy and security constraints, directly sharing user data between parties is undesired. Such decentralized data silo issues commonly exist in recommender systems. In general, recommender systems are data-driven. The more data it uses, the better performance it obtains. The data silo issues is a severe limitation of the recommender’s performance. Federated learning is an emerging technology, which bridges the data silos and builds machine learning models without compromising user privacy and data security. We design a recommender system based on federated learning. It is known as the federated recommender system. The system implements plenty of popular algorithms to support various online recommendation services. The algorithm implementation is open-sourced. We also deploy the system on a real-world content recommendation application, achieving significant performance improvement. In this demonstration, we present the architecture of the federated recommender system and give an online demo to show its detailed working procedures and results in content recommendations.",33
91,92,1,A Blockchain and Machine Learning-Based Drug Supply Chain Management and Recommendation System for Smart Pharmaceutical Industry,"Khizar Abbas, Muhammad Afaq, Talha Ahmed Khan, Wang-Cheol Song",Electronics,2020,79,2.498517053880376, ,https://www.semanticscholar.org/paper/5beff11072de25e9be72bd02acc2215a254566e4,"@['Review']{Abbas2020ABA,
 author = {Khizar Abbas and Muhammad Afaq and Talha Ahmed Khan and Wang-Cheol Song},
 booktitle = {Electronics},
 journal = {Electronics},
 title = {A Blockchain and Machine Learning-Based Drug Supply Chain Management and Recommendation System for Smart Pharmaceutical Industry},
 year = {2020}
}
","From the last decade, pharmaceutical companies are facing difficulties in tracking their products during the supply chain process, allowing the counterfeiters to add their fake medicines into the market. Counterfeit drugs are analyzed as a very big challenge for the pharmaceutical industry worldwide. As indicated by the statistics, yearly business loss of around $200 billion is reported by US pharmaceutical companies due to these counterfeit drugs. These drugs may not help the patients to recover the disease but have many other dangerous side effects. According to the World Health Organization (WHO) survey report, in under-developed countries every 10th drug use by the consumers is counterfeit and has low quality. Hence, a system that can trace and track drug delivery at every phase is needed to solve the counterfeiting problem. The blockchain has the full potential to handle and track the supply chain process very efficiently. In this paper, we have proposed and implemented a novel blockchain and machine learning-based drug supply chain management and recommendation system (DSCMR). Our proposed system consists of two main modules: blockchain-based drug supply chain management and machine learning-based drug recommendation system for consumers. In the first module, the drug supply chain management system is deployed using Hyperledger fabrics which is capable of continuously monitor and track the drug delivery process in the smart pharmaceutical industry. On the other hand, the N-gram, LightGBM models are used in the machine learning module to recommend the top-rated or best medicines to the customers of the pharmaceutical industry. These models have trained on well known publicly available drug reviews dataset provided by the UCI: an open-source machine learning repository. Moreover, the machine learning module is integrated with this blockchain system with the help of the REST API. Finally, we also perform several tests to check the efficiency and usability of our proposed system.",9
92,93,1,Adversarial Counterfactual Learning and Evaluation for Recommender System,"Chuanwei Ruan, Da Xu, Evren Körpeoglu, Kannan Achan, Sushant Kumar",Neural Information Processing Systems,2020,21,2.498517053880376, ,https://www.semanticscholar.org/paper/58c4c31bcf6c5e1e545d9810cf5ba901d44975af,"@['JournalArticle']{Xu2020AdversarialCL,
 author = {Da Xu and Chuanwei Ruan and Evren Körpeoglu and Sushant Kumar and Kannan Achan},
 booktitle = {Neural Information Processing Systems},
 journal = {ArXiv},
 title = {Adversarial Counterfactual Learning and Evaluation for Recommender System},
 volume = {abs/2012.02295},
 year = {2020}
}
","The feedback data of recommender systems are often subject to what was exposed to the users; however, most learning and evaluation methods do not account for the underlying exposure mechanism. We first show in theory that applying supervised learning to detect user preferences may end up with inconsistent results in the absence of exposure information. The counterfactual propensity-weighting approach from causal inference can account for the exposure mechanism; nevertheless, the partial-observation nature of the feedback data can cause identifiability issues. We propose a principled solution by introducing a minimax empirical risk formulation. We show that the relaxation of the dual problem can be converted to an adversarial game between two recommendation models, where the opponent of the candidate model characterizes the underlying exposure mechanism. We provide learning bounds and conduct extensive simulation studies to illustrate and justify the proposed approach over a broad range of recommendation settings, which shed insights on the various benefits of the proposed approach.",12
93,94,1,DNNRec: A novel deep learning based hybrid recommender system,"B. Bhasker, K. Rama, Pradeep Kumar",Expert systems with applications,2020,72,2.498517053880376, ,https://www.semanticscholar.org/paper/ee918ea759f87f584bfaca1aba7aeca6441291b9,"@['JournalArticle']{Rama2020DNNRec:AN,
 author = {K. Rama and Pradeep Kumar and B. Bhasker},
 booktitle = {Expert systems with applications},
 journal = {Expert Syst. Appl.},
 pages = {113054},
 title = {DNNRec: A novel deep learning based hybrid recommender system},
 volume = {144},
 year = {2020}
}
",No synopsis,32
94,95,1,A collaborative filtering recommender system using genetic algorithm,"Bushra Alhijawi, Y. Kilani",Information Processing & Management,2020,50,2.498517053880376, ,https://www.semanticscholar.org/paper/6741cc0609587968984547deca31345143d7e28b,"@['JournalArticle']{Alhijawi2020ACF,
 author = {Bushra Alhijawi and Y. Kilani},
 booktitle = {Information Processing & Management},
 journal = {Inf. Process. Manag.},
 pages = {102310},
 title = {A collaborative filtering recommender system using genetic algorithm},
 volume = {57},
 year = {2020}
}
",No synopsis,13
95,96,1,CNAVER: A Content and Network-based Academic VEnue Recommender system,"Sukomal Pal, Tribikram Pradhan",Knowledge-Based Systems,2020,28,2.498517053880376, ,https://www.semanticscholar.org/paper/fbcfdd680147351e81fb7b13fc1c6feb7bc62f73,"@['JournalArticle']{Pradhan2020CNAVER:AC,
 author = {Tribikram Pradhan and Sukomal Pal},
 booktitle = {Knowledge-Based Systems},
 journal = {Knowl. Based Syst.},
 title = {CNAVER: A Content and Network-based Academic VEnue Recommender system},
 volume = {189},
 year = {2020}
}
",No synopsis,3
96,97,1,Weighted aspect-based opinion mining using deep learning for recommender system,"A. Da’u, Akram Osman, I. Rabiu, N. Salim",Expert systems with applications,2020,54,2.498517053880376, ,https://www.semanticscholar.org/paper/f50de0847db6791171498db1006874bfc8ed2fe2,"@['JournalArticle', 'Review']{Da’u2020WeightedAO,
 author = {A. Da’u and N. Salim and I. Rabiu and Akram Osman},
 booktitle = {Expert systems with applications},
 journal = {Expert Syst. Appl.},
 title = {Weighted aspect-based opinion mining using deep learning for recommender system},
 volume = {140},
 year = {2020}
}
",No synopsis,32
97,98,1,Core Outcome Set for Clinical Trials of COVID-19 Based on Traditional Chinese and Western Medicine,"Changming Zhong, Chen Zhao, H. Shang, Jia-yuan Hu, Jing Chen, Mengzhu Zhao, Min Li, R. Qiu, Song-jie Han, Tengxiao Liang, Tianmai He, Xiaoyu Zhang, Xuezeng Hao, Xuxu Wei, Ya Huang, Yang Sun, Zhao Chen",Frontiers in Pharmacology,2020,26,2.498517053880376, ,https://www.semanticscholar.org/paper/f4636bda5c5ae53ed6c05f5aba349a84cdb862be,"@['JournalArticle', 'Review']{Qiu2020CoreOS,
 author = {R. Qiu and Chen Zhao and Tengxiao Liang and Xuezeng Hao and Ya Huang and Xiaoyu Zhang and Zhao Chen and Xuxu Wei and Mengzhu Zhao and Changming Zhong and Jia-yuan Hu and Min Li and Song-jie Han and Tianmai He and Yang Sun and Jing Chen and H. Shang},
 booktitle = {Frontiers in Pharmacology},
 journal = {Frontiers in Pharmacology},
 title = {Core Outcome Set for Clinical Trials of COVID-19 Based on Traditional Chinese and Western Medicine},
 volume = {11},
 year = {2020}
}
","Background Development of a core outcome set (COS) for clinical trials for COVID-19 is urgent because of the pandemic wreaking havoc worldwide and the heterogeneity of outcomes in clinical trials. Methods A preliminary list of outcomes was developed after a systematic review of protocols of clinical trials for COVID-19. Then, two rounds of the Delphi survey were conducted. Stakeholders were traditional Chinese medicine (TCM) experts, Western medicine (WM) experts, nurses, and the public. Patients with confirmed COVID-19 were also invited to participate in a questionnaire written in understandable language. Then different stakeholders participated in a consensus meeting by video conference to vote. Results Ninety-seven eligible study protocols were identified from 160 clinical trials. Seventy-six outcomes were identified from TCM clinical trials and 126 outcomes were identified from WM clinical trials. Finally, 145 outcomes were included in the first round of the Delphi survey. Then, a COS for clinical trials of TCM and WM was developed. The COS included clinical outcomes (recovery/improvement/progression/death), etiology (SARS-CoV-2 nucleic-acid tests, viral load), inflammatory factor (C-reactive protein), vital signs (temperature, respiration), blood and lymphatic-system parameters (lymphocytes, virus antibody), respiratory outcomes (pulmonary imaging, blood oxygen saturation, PaO2/FiO2 ratio, arterial blood gas analysis, mechanical ventilation, oxygen intake, pneumonia severity index), clinical efficacy (prevalence of preventing patients with mild-to-moderate disease progressing to severe disease), and symptoms (clinical symptom score). Outcomes were recommended according to different types of disease. Outcome measurement instruments/definitions were also recommended. Conclusion Though there are some limitations for the research, such as insufficient patients and the public involvement, and the unbalanced stakeholders' region, the COS for COVID-19 may improve consistency of outcome reporting in clinical trials. It also should be updated with research progression.",54
98,99,1,A novel group recommender system based on members' influence and leader impact,"H. Koohi, R. Nozari",Knowledge-Based Systems,2020,29,2.498517053880376, ,https://www.semanticscholar.org/paper/22c7eb1181e685844706704de233f8b977de5d3e,"@['JournalArticle']{Nozari2020ANG,
 author = {R. Nozari and H. Koohi},
 booktitle = {Knowledge-Based Systems},
 journal = {Knowl. Based Syst.},
 pages = {106296},
 title = {A novel group recommender system based on members' influence and leader impact},
 volume = {205},
 year = {2020}
}
",No synopsis,33
99,100,1,The recommender system: a survey,"Bushra Alhijawi, Y. Kilani",Int. J. Adv. Intell. Paradigms,2020,39,2.498517053880376, ,https://www.semanticscholar.org/paper/15401d39dc8ce148904293aaf27b922e85cdf97c,"@['JournalArticle', 'Review']{Alhijawi2020TheRS,
 author = {Bushra Alhijawi and Y. Kilani},
 booktitle = {Int. J. Adv. Intell. Paradigms},
 journal = {Int. J. Adv. Intell. Paradigms},
 pages = {229-251},
 title = {The recommender system: a survey},
 volume = {15},
 year = {2020}
}
","Recommender system is a helpful tool for helping the user in cutting the time needs to find personalised products, documents, friends, places and services. In addition, the recommender system handles the century web problem: information overload. In the same time, many environments or technologies (i.e., cloud, mobile, social network) become popular today and facing the problem of large amount of information. Therefore, the researchers recognise that the recommender system is a suitable solution to this problem in those environments. This paper, reviews the recent research papers that were applied the recommender system in mobile, social network, or cloud environment. We classify these recommender systems into four groups (i.e., mobile recommender system, social recommender system, cloud recommender system and traditional (PC) recommender system) depending on technology or environment that the RS is applied in. This survey presents some compression, advantages and challenges of these types of recommender systems. Also, it will directly support researchers and professionals in their understanding of those types of recommender systems.",15
100,101,1,A hybrid personalized scholarly venue recommender system integrating social network analysis and contextual similarity,"Sukomal Pal, Tribikram Pradhan",Future generations computer systems,2020,36,2.498517053880376, ,https://www.semanticscholar.org/paper/d88cbdc89c34cb633c27e2dd5d8948a3ed05f51e,"@['JournalArticle']{Pradhan2020AHP,
 author = {Tribikram Pradhan and Sukomal Pal},
 booktitle = {Future generations computer systems},
 journal = {Future Gener. Comput. Syst.},
 pages = {1139-1166},
 title = {A hybrid personalized scholarly venue recommender system integrating social network analysis and contextual similarity},
 volume = {110},
 year = {2020}
}
",No synopsis,3
101,102,1,Recommender System in eLearning: A Survey,"Pradnya V. Kulkarni, Rohini S. Kale, S. Rai",-,2020,22,2.498517053880376, ,https://www.semanticscholar.org/paper/03b516bb4b0269b57461bf4809b9b38195f0cebd,"@['Review']{Kulkarni2020RecommenderSI,
 author = {Pradnya V. Kulkarni and S. Rai and Rohini S. Kale},
 pages = {119-126},
 title = {Recommender System in eLearning: A Survey},
 year = {2020}
}
",No synopsis,15
102,103,1,Deep Learning on Knowledge Graph for Recommender System: A Survey,"Hang Gao, L. Khan, Y. Gao, Yifan Li, Yu Lin",ArXiv,2020,28,2.498517053880376, ,https://www.semanticscholar.org/paper/d44050abf76b2d1a2cb6d127093cfb83ab2d96c8,"@['JournalArticle', 'Review']{Gao2020DeepLO,
 author = {Y. Gao and Yifan Li and Yu Lin and Hang Gao and L. Khan},
 booktitle = {ArXiv},
 journal = {ArXiv},
 title = {Deep Learning on Knowledge Graph for Recommender System: A Survey},
 volume = {abs/2004.00387},
 year = {2020}
}
","Recent advances in research have demonstrated the effectiveness of knowledge graphs (KG) in providing valuable external knowledge to improve recommendation systems (RS). A knowledge graph is capable of encoding high-order relations that connect two objects with one or multiple related attributes. With the help of the emerging Graph Neural Networks (GNN), it is possible to extract both object characteristics and relations from KG, which is an essential factor for successful recommendations. In this paper, we provide a comprehensive survey of the GNN-based knowledge-aware deep recommender systems. Specifically, we discuss the state-of-the-art frameworks with a focus on their core component, i.e., the graph embedding module, and how they address practical recommendation issues such as scalability, cold-start and so on. We further summarize the commonly-used benchmark datasets, evaluation metrics as well as open-source codes. Finally, we conclude the survey and propose potential research directions in this rapidly growing field.",15
103,104,1,A hybrid recommender system for recommending relevant movies using an expert system,"Bogdan Walek, Vladimir Fojtik",Expert systems with applications,2020,75,2.498517053880376, ,https://www.semanticscholar.org/paper/a68847151c3c4d5d2fcea86adb447470aee58258,"@['JournalArticle']{Walek2020AHR,
 author = {Bogdan Walek and Vladimir Fojtik},
 booktitle = {Expert systems with applications},
 journal = {Expert Syst. Appl.},
 pages = {113452},
 title = {A hybrid recommender system for recommending relevant movies using an expert system},
 volume = {158},
 year = {2020}
}
",No synopsis,0
104,105,1,A Comprehensive Review of Concentrated Growth Factors and Their Novel Applications in Facial Reconstructive and Regenerative Medicine,"Haiyue Jiang, Jianguo Chen",Aesthetic Plastic Surgery,2020,21,2.498517053880376, ,https://www.semanticscholar.org/paper/f1e8aa45d4479830a4ff3e75b1f2976caf9ddeb9,"@['Review', 'JournalArticle']{Chen2020ACR,
 author = {Jianguo Chen and Haiyue Jiang},
 booktitle = {Aesthetic Plastic Surgery},
 journal = {Aesthetic Plastic Surgery},
 pages = {1047-1057},
 title = {A Comprehensive Review of Concentrated Growth Factors and Their Novel Applications in Facial Reconstructive and Regenerative Medicine},
 volume = {44},
 year = {2020}
}
",No synopsis,35
105,106,1,An ensemble-based hotel recommender system using sentiment analysis and aspect categorization of hotel reviews,"Avishek Garain, Biswarup Ray, R. Sarkar",Applied Soft Computing,2020,56,2.498517053880376, ,https://www.semanticscholar.org/paper/10661085c8830cfb71189c8fadc10021a3ab3746,"@['JournalArticle', 'Review']{Ray2020AnEH,
 author = {Biswarup Ray and Avishek Garain and R. Sarkar},
 booktitle = {Applied Soft Computing},
 journal = {Appl. Soft Comput.},
 pages = {106935},
 title = {An ensemble-based hotel recommender system using sentiment analysis and aspect categorization of hotel reviews},
 volume = {98},
 year = {2020}
}
",No synopsis,9
106,107,1,A modular cluster based collaborative recommender system for cardiac patients,"Anam Mustaqeem, Muhammad Majid, S. Anwar",Artif. Intell. Medicine,2020,31,2.498517053880376, ,https://www.semanticscholar.org/paper/1604400e0b295b5f73ec2683f67f41b26bdd31fd,"@['JournalArticle']{Mustaqeem2020AMC,
 author = {Anam Mustaqeem and S. Anwar and Muhammad Majid},
 booktitle = {Artif. Intell. Medicine},
 journal = {Artificial intelligence in medicine},
 pages = {
          101761
        },
 title = {A modular cluster based collaborative recommender system for cardiac patients},
 volume = {102},
 year = {2020}
}
",No synopsis,7
107,108,1,A social recommender system based on reliable implicit relationships,"M. Afsharchi, M. Jalili, M. Meghdadi, Nima Joorabloo, S. Ahmadian, Yongli Ren",Knowledge-Based Systems,2020,58,2.498517053880376, ,https://www.semanticscholar.org/paper/60c76d94331177098acb923f720f7b530c1ab304,"@['JournalArticle']{Ahmadian2020ASR,
 author = {S. Ahmadian and Nima Joorabloo and M. Jalili and Yongli Ren and M. Meghdadi and M. Afsharchi},
 booktitle = {Knowledge-Based Systems},
 journal = {Knowl. Based Syst.},
 pages = {105371},
 title = {A social recommender system based on reliable implicit relationships},
 volume = {192},
 year = {2020}
}
",No synopsis,31
